genus_excluded
-----------	ES	EP	EP+_introns	ES+_start_stops	EP+
Gene_Sn/Sp----	55.79/54.03	57.45/55.38	65.15/63.12	65.69/61.40	73.19/69.07
Exon_Sn/Sp----	77.15/79.24	77.52/80.47	80.14/82.49	79.59/83.03	81.63/84.72
Initial_Sn/Sp-	60.53/68.86	61.14/69.45	63.26/71.40	66.74/73.87	67.94/75.31
Internal_Sn/Sp	87.14/83.40	87.34/85.09	90.59/87.12	87.64/87.32	90.49/89.17
Terminal_Sn/Sp	61.18/72.15	61.93/72.93	63.68/74.55	66.31/76.03	66.91/76.85
Single_Sn/Sp--	58.62/74.20	59.08/73.26	58.27/76.09	64.29/75.94	63.67/78.46
Intron_Sn/Sp--	85.16/82.39	85.45/83.85	88.98/86.30	85.98/85.51	88.95/87.70
Start_Sn/Sp---	65.42/74.08	65.80/74.12	66.49/75.28	71.40/77.99	71.33/78.68
Stop_Sn/Sp----	67.07/77.07	67.76/77.47	68.54/78.78	71.79/79.53	71.68/80.20
