---------	family	.	genus	.	order	.	phylum	.	species	.
---------	All	HC	All	HC	All	HC	All	HC	All	HC
Intron_Sn	82.62	74.22	87.88	84.33	80.33	71.62	51.28	28.29	88.44	84.99
Intron_Sp	90.90	98.75	85.97	97.47	91.24	98.80	95.00	99.60	85.75	97.30
Start_Sn-	52.82	39.39	69.33	61.40	46.71	37.82	9.93	3.99	71.05	62.01
Start_Sp-	78.19	94.83	70.87	94.42	77.55	94.38	54.18	93.06	69.94	94.37
Stop_Sn--	47.93	37.52	64.89	58.98	43.29	36.33	11.06	5.12	67.10	60.41
Stop_Sp--	94.40	97.43	89.64	95.39	94.42	97.41	94.12	99.11	88.63	95.06
