---------	genus	.	order	.	phylum	.
---------	All	HC	All	HC	All	HC
Intron_Sn	71.64	67.84	67.06	61.04	41.55	23.05
Intron_Sp	70.79	91.16	80.61	92.48	88.48	94.74
Start_Sn-	49.67	43.34	40.41	33.27	8.83	3.51
Start_Sp-	44.93	79.80	50.18	82.18	45.13	84.73
Stop_Sn--	49.26	43.98	39.93	33.58	9.65	4.64
Stop_Sp--	72.87	86.21	79.72	87.80	86.76	92.49
