genus_excluded
-----------	ES	EP	EP+_introns	ES+_start_stops	EP+
Gene_Sn/Sp----	64.46/71.93	64.65/72.04	66.02/73.58	66.29/73.37	67.13/74.48
Exon_Sn/Sp----	75.72/84.80	75.67/85.06	77.28/84.94	76.69/85.78	77.78/85.49
Initial_Sn/Sp-	70.90/81.26	70.72/81.19	72.35/81.96	72.17/82.25	73.15/82.67
Internal_Sn/Sp	77.36/88.16	77.21/89.11	80.44/87.50	77.84/89.77	80.44/88.16
Terminal_Sn/Sp	79.04/89.47	79.23/89.82	79.91/89.41	80.21/90.28	80.47/89.82
Single_Sn/Sp--	74.66/70.72	74.52/69.87	73.25/71.47	75.66/70.51	74.30/71.73
Intron_Sn/Sp--	79.49/89.76	79.58/90.50	82.46/90.38	80.20/90.86	82.51/90.68
Start_Sn/Sp---	76.24/83.17	75.97/82.75	76.81/83.68	77.46/83.80	77.76/84.34
Stop_Sn/Sp----	85.78/92.04	86.01/92.14	86.36/92.55	86.81/92.37	86.88/92.69
