---------	genus	.	order	.	phylum	.
---------	All	HC	All	HC	All	HC
Intron_Sn	76.02	66.20	69.89	60.70	60.21	37.31
Intron_Sp	58.36	96.77	61.66	96.97	70.79	98.34
Start_Sn-	65.28	38.74	43.02	34.20	27.42	9.60
Start_Sp-	75.65	93.67	76.02	91.47	73.65	88.97
Stop_Sn--	65.68	40.00	44.10	35.86	29.60	10.94
Stop_Sp--	94.15	98.52	95.93	98.41	96.14	99.17
