family_excluded
-----------	ES	EP	EP+_introns	ES+_start_stops	EP+
Gene_Sn/Sp----	46.76/46.38	45.24/42.84	46.44/45.03	46.34/43.77	47.42/45.78
Exon_Sn/Sp----	80.99/82.36	80.00/80.03	80.19/81.16	80.19/80.44	80.32/81.47
Initial_Sn/Sp-	53.52/63.37	53.05/60.06	53.26/61.74	53.81/60.83	53.99/62.36
Internal_Sn/Sp	90.72/87.66	89.61/86.36	89.86/87.11	89.56/86.74	89.75/87.44
Terminal_Sn/Sp	73.60/77.21	72.56/72.76	72.58/74.53	73.08/73.18	73.02/74.71
Single_Sn/Sp--	15.58/50.53	16.56/46.48	16.67/48.26	18.08/47.43	17.76/48.80
Intron_Sn/Sp--	87.48/86.43	86.35/84.39	86.66/85.49	86.36/84.72	86.60/85.72
Start_Sn/Sp---	53.73/64.83	53.44/61.54	53.55/63.15	54.20/62.27	54.28/63.72
Stop_Sn/Sp----	73.48/77.98	72.55/73.49	72.55/75.26	73.08/73.85	73.02/75.41
