---------	none	none	genus	genus	order	order	phylum	phylum
---------	ES	ET	EP	EP+	EP	EP+	EP	EP+
Gene_Sn--	12.07	16.19	16.21	29.84	16.17	27.03	16.44	20.39
Gene_Sp--	4.47	6.04	5.81	11.54	5.80	10.58	5.69	7.62
Exon_Sn--	63.98	66.45	66.46	72.67	66.33	71.61	66.08	68.34
Exon_Sp--	43.66	49.00	47.96	54.21	48.12	53.83	47.34	50.67
Intron_Sn	63.66	66.20	66.30	73.09	66.18	72.11	65.98	68.70
Intron_Sp	45.80	52.17	51.30	58.11	51.49	57.76	50.93	54.54
