------	Raw_annot	Partial_CDS_removed	Complete_transcripts	Incomplete_transcripts	Complete_genes	Incomplete_genes
Exon_Sn	69.47	72.22	74.58	67.47	74.46	68.54
Gene_Sn	22.75	23.09	25.71	0.18	28.30	11.49
