genus_excluded
-----------	ES	EP	EP+_introns	ES+_start_stops	EP+
Gene_Sn/Sp----	12.07/4.47	16.21/5.81	21.75/8.59	24.36/8.52	29.84/11.54
Exon_Sn/Sp----	63.98/43.66	66.46/47.96	71.16/52.40	68.77/50.26	72.67/54.21
Initial_Sn/Sp-	29.26/15.37	34.33/17.39	37.65/20.88	45.60/22.77	47.01/25.70
Internal_Sn/Sp	71.27/52.65	73.21/59.41	78.29/63.04	73.58/61.32	78.24/64.63
Terminal_Sn/Sp	43.80/23.21	47.85/24.54	51.35/28.79	55.50/28.06	56.49/31.21
Single_Sn/Sp--	32.92/26.04	37.28/23.25	37.99/25.39	50.30/26.07	50.06/27.79
Intron_Sn/Sp--	63.66/45.80	66.30/51.30	73.04/56.99	67.02/52.86	73.09/58.11
Start_Sn/Sp---	32.89/17.52	38.25/19.47	40.94/22.78	51.27/25.48	51.66/28.07
Stop_Sn/Sp----	48.74/26.00	52.55/26.88	55.50/31.00	61.72/30.83	62.04/33.83
